,clu
Bradi1g02570,7
Bradi3g14650,7
Bradi3g14360,7
Bradi1g03560,7
Bradi2g60331,7
Bradi2g60340,7
Bradi2g60456,7
Bradi2g60497,7
Bradi3g14150,7
Bradi3g14140,7
Bradi5g26023,7
Bradi2g60790,7
Bradi2g60870,7
Bradi3g13810,7
Bradi3g13275,7
Bradi3g13220,7
Bradi3g12450,7
Bradi2g61190,7
Bradi1g02635,7
Bradi5g26410,7
Bradi3g00282,7
Bradi1g02697,7
Bradi2g62660,7
Bradi1g02730,7
Bradi3g09790,7
Bradi2g62450,7
Bradi3g10037,7
Bradi2g62067,7
Bradi2g61980,7
Bradi1g02800,7
Bradi1g03030,7
Bradi2g61710,7
Bradi2g62400,7
Bradi3g22043,7
Bradi2g52940,7
Bradi2g52930,7
Bradi2g42630,7
Bradi3g35236,7
Bradi1g09970,7
Bradi2g43030,7
Bradi2g43040,7
Bradi2g43150,7
Bradi2g43230,7
Bradi2g43330,7
Bradi3g34750,7
Bradi2g43690,7
Bradi3g34720,7
Bradi3g34615,7
Bradi1g09737,7
Bradi2g43917,7
Bradi5g19727,7
Bradi2g44540,7
Bradi3g33582,7
Bradi1g09030,7
Bradi1g09042,7
Bradi3g32210,7
Bradi2g46306,7
Bradi2g46120,7
Bradi2g45890,7
Bradi1g10140,7
Bradi2g45710,7
Bradi3g33047,7
Bradi5g20074,7
Bradi3g33080,7
Bradi2g45100,7
Bradi1g09460,7
Bradi5g20040,7
Bradi2g45420,7
Bradi2g47000,7
Bradi2g42380,7
Bradi2g42080,7
Bradi2g37320,7
Bradi2g37327,7
Bradi2g37460,7
Bradi3g37770,7
Bradi3g37680,7
Bradi2g38330,7
Bradi3g37670,7
Bradi2g38470,7
Bradi3g37480,7
Bradi3g37470,7
Bradi2g05927,7
Bradi2g39290,7
Bradi3g37390,7
Bradi2g39830,7
Bradi3g37240,7
Bradi3g37130,7
Bradi5g19600,7
Bradi2g41945,7
Bradi2g41941,7
Bradi3g35670,7
Bradi3g35680,7
Bradi2g41590,7
Bradi3g35700,7
Bradi1g10150,7
Bradi5g19640,7
Bradi1g10580,7
Bradi1g10600,7
Bradi5g19610,7
Bradi5g19605,7
Bradi3g35980,7
Bradi3g36200,7
Bradi2g41270,7
Bradi3g31850,7
Bradi1g09000,7
Bradi2g47290,7
Bradi2g49906,7
Bradi1g07495,7
Bradi2g49930,7
Bradi3g27720,7
Bradi3g27700,7
Bradi3g27625,7
Bradi5g21350,7
Bradi1g07400,7
Bradi3g27610,7
Bradi2g50290,7
Bradi2g50440,7
Bradi1g07160,7
Bradi2g50670,7
Bradi2g50850,7
Bradi5g22730,7
Bradi3g27000,7
Bradi3g26967,7
Bradi2g52920,7
Bradi2g52790,7
Bradi3g22070,7
Bradi3g22560,7
Bradi2g52330,7
Bradi2g52300,7
Bradi2g49870,7
Bradi1g06780,7
Bradi2g52130,7
Bradi2g52030,7
Bradi5g22820,7
Bradi3g26920,7
Bradi3g26952,7
Bradi2g51530,7
Bradi3g24676,7
Bradi1g07550,7
Bradi3g27825,7
Bradi3g28070,7
Bradi2g48260,7
Bradi3g30180,7
Bradi1g08550,7
Bradi2g47980,7
Bradi5g20300,7
Bradi2g47660,7
Bradi5g20620,7
Bradi3g30730,7
Bradi1g08988,7
Bradi3g31500,7
Bradi2g47440,7
Bradi3g31510,7
Bradi3g31520,7
Bradi3g31590,7
Bradi5g20197,7
Bradi3g38290,7
Bradi3g29120,7
Bradi2g48730,7
Bradi3g28200,7
Bradi3g28220,7
Bradi5g20820,7
